country,ISO3,hs_eci_1995,hs_eci_2022,hs_eci_1995_2022
Albania,ALB,-0.496367871761322,-0.41410139203071594,16.573691491894913
Austria,AUT,2.005422830581665,1.6918416023254395,-15.636663923152435
Belgium,BEL,1.564016580581665,1.0993013381958008,-29.712935793368285
Bosnia and Herzegovina,BIH,0.22175300121307373,0.5633745193481445,154.0549693876838
Bulgaria,BGR,0.40631788969039917,0.7650831937789917,88.29670393345464
Belarus,BLR,0.5043339729309082,0.7000298500061035,38.802834545910095
Croatia,HRV,0.7399368286132812,0.8551835417747498,15.575209761818837
Czechia,CZE,1.37130868434906,1.7358729839324951,26.585137521862066
Denmark,DNK,1.342137098312378,1.0061627626419067,-25.03278808796285
Estonia,EST,0.5592159628868103,1.0013148784637451,79.0569198516279
Finland,FIN,2.0445644855499268,1.5047669410705566,-26.40159057317191
France,FRA,1.7569042444229126,1.269187092781067,-27.760030359653744
Germany,DEU,2.2846415042877197,2.0143837928771973,-11.829326872654377
Greece,GRC,0.16942976415157318,0.1962803304195404,15.84760883214504
Hungary,HUN,0.9367976784706116,1.3829797506332397,47.62843487091599
Ireland,IRL,1.2830504179000854,1.6788746118545532,30.85024473179289
Italy,ITA,1.5045385360717773,1.3482089042663574,-10.390536902669394
Latvia,LVA,0.478285551071167,0.6027683019638062,26.026868387273655
Lithuania,LTU,0.46498602628707886,0.8913971781730652,91.7040787850952
Moldova,MDA,0.3768514394760132,-0.07730694115161896,-120.51390363775951
Netherlands,NLD,1.2635748386383057,1.113443374633789,-11.88148571922389
Norway,NOR,1.1594815254211426,0.3957861065864563,-65.86525115674436
Poland,POL,0.7870205044746399,0.9856982827186584,25.24429504878555
Portugal,PRT,0.44101133942604065,0.5700212717056274,29.25320071077725
Romania,ROU,0.6697773933410645,1.0589650869369507,58.10702144700542
Russia,RUS,0.38928020000457764,-0.12667407095432281,-132.54058926008392
Serbia,SRB,0.0,0.6532065868377686,inf
Slovakia,SVK,1.2628072500228882,1.270761489868164,0.629885506686132
Slovenia,SVN,1.4300637245178223,1.6650841236114502,16.43426059023141
Spain,ESP,1.1080622673034668,0.759626567363739,-31.445498165700208
Sweden,SWE,2.214016914367676,1.6873983144760132,-23.785662904118556
Switzerland,CHE,2.182713270187378,2.2522873878479004,3.1875060554586625
Ukraine,UKR,0.4481974244117737,0.26072150468826294,-41.828870384420256
North Macedonia,MKD,0.3249020576477051,0.12521737813949585,-61.459961489295814
United Kingdom,GBR,1.7971079349517822,1.8285157680511475,1.7476876312500358
